BC dist.to.ref.stool	BC dist.to.ref.nasal	UW dist.to.ref.stool	UW dist.to.ref.nasal	WU dist.to.ref.stool	WU dist.to.ref.nasal
700023069	0.716804002565217	0.718456451716216	0.532782918360192	0.381704221882377	0.488975324529658	0.381704221882377
700023074	0.765431818423913	0.257946363716216	0.348122309102707	0.334320250576921	0.259119833408629	0.334320250576921
700023177	0.717612550097826	0.715091904027027	0.832305468298753	0.847664515027642	0.780578115013952	0.847664515027642
700023180	0.552215416891304	0.613724750337838	0.392249524889568	0.274605528894513	0.777459538103764	0.274605528894513
700023188	0.267717532793478	0.93943184922973	0.447228442465428	0.423628589160047	0.523449168831626	0.423628589160047
700023237	0.191774310108696	0.736741276135135	0.227137014219628	0.198897321099126	0.821261075133978	0.198897321099126
700023240	0.843168164793478	0.75839086777027	0.491370674923255	0.389669445714593	0.614751461861695	0.389669445714593
700023245	0.719481049847826	0.720478598581081	0.832305468298753	0.847664515027642	0.780578115013952	0.847664515027642
700023290	0.452432519032609	0.695687767027027	0.263293862560601	0.254284462663652	0.523458027391368	0.254284462663652
700023380	0.594021731923913	0.556879683445946	0.47944509324722	0.567574875637753	0.779146505734644	0.567574875637753
700023398	0.715674061673913	0.717668562635135	0.400211517932863	0.198988237136631	0.582066557688974	0.198988237136631
700023437	0.49278534173913	0.616653993635135	0.603305552274927	0.61957827157833	0.779606250249527	0.61957827157833
700023447	0.391441930934783	0.716171912783784	0.317727324828752	0.192565490392425	0.494266932900163	0.192565490392425
700023452	0.834075786934783	0.245383553689189	0.832305468298753	0.847664515027642	0.780578115013952	0.847664515027642
700023455	0.720071321434783	0.721451571554054	0.317727324828752	0.192565490392425	0.530684589970786	0.192565490392425
700023494	0.571342088054348	0.630019002594595	0.455534475852267	0.275670019559032	0.501408816900484	0.275670019559032
700023507	0.728048498836957	0.55220838122973	0.603305552274927	0.61957827157833	0.776176384076658	0.61957827157833
